key,0
#,Text
int32,str
0,""
1,"獲得率＋<Value>IntegerParameter(1)</Value>%"
2,"獲得率×<Value>IntegerParameter(1)</Value>"
3,"<If(IntegerParameter(2))>可获得<Else/>获得率 <Value>IntegerParameter(1)</Value>%</If>"
4,"高於自身等級道具獲得率＋<Value>IntegerParameter(1)</Value>%"
5,"高於自身等級道具獲得率×<Value>IntegerParameter(1)</Value>"
6,"高於自身等級道具獲得率 <Value>IntegerParameter(1)</Value>%"
7,"低於自身等級道具獲得率＋<Value>IntegerParameter(1)</Value>%"
8,"低於自身等級道具獲得率×<Value>IntegerParameter(1)</Value>"
9,"低於自身等級道具獲得率 <Value>IntegerParameter(1)</Value>%"
10,""
11,""
12,""
13,""
14,"獲得數＋<Value>IntegerParameter(1)</Value>個"
15,"數量×<Value>IntegerParameter(1)</Value>"
16,"數量 <Value>IntegerParameter(1)</Value>個"
17,"獲得數＋<Value>IntegerParameter(1)</Value>個（上升型）"
18,"採集次數/耐久＋<Value>IntegerParameter(1)</Value>次"
19,"採集次數/耐久＋<Value>IntegerParameter(1)</Value>次（上升型）"
20,"隱藏道具出現率×<38>E80265FF022E</38>"
21,"<If(IntegerParameter(2))>可以采集收藏品<Else/>不可采集收藏品</If>"
22,"額外採集獎勵發生率＋<Value>IntegerParameter(1)</Value>%"
23,"額外採集獎勵發生率＋<Value>IntegerParameter(1)</Value>%（上升型）"
24,"收藏價值最大時：昇華率＋<Value>IntegerParameter(1)</Value>%"
25,"收藏價值最大時：昇華率＋<Value>IntegerParameter(1)</Value>%（上升型）"
