key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#,Vision,Objective,PreviousObjective,,,,,,,,,,,,,,,,,,,
int32,str,str,str,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,int16,int16,uint16
0,"","","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
1,"開拓目標：建造小島木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取貓耳小員的說明<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
2,"開拓目標：建造小島木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>再次聽取貓耳小員的說明<Unknown14>EC</Unknown14></Color>","聽取貓耳小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
3,"開拓目標：建造小島木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>在收穫模式下收集開拓素材
向貓耳小員報告<Unknown14>EC</Unknown14></Color>","再次聽取貓耳小員的說明",2,2,3,3,2,4,0,3,1,255,0,0,255,0,0,1,0,0,0
4,"開拓目標：建造小島木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>在開拓製作面板中製作開拓用石斧
向貓耳小員報告<Unknown14>EC</Unknown14></Color>","在收穫模式下收集開拓素材 向貓耳小員報告",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
5,"開拓目標：建造小島木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>收集開拓素材建造小島木屋<Unknown14>EC</Unknown14></Color>","在開拓製作面板中製作開拓用石斧 向貓耳小員報告",10,10,11,0,10,1,11,5,12,3,5,4,8,5,9,0,0,0,0
6,"開拓目標：建造小島木屋","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>向貓耳小員報告<Unknown14>EC</Unknown14></Color>","收集開拓素材建造小島木屋",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
7,"開拓目標：在耕地種植作物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取貓耳小員的說明<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
8,"開拓目標：在耕地種植作物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>委託耕種小員整地<Unknown14>EC</Unknown14></Color>","聽取貓耳小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
9,"開拓目標：在耕地種植作物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>聽取耕種小員的說明<Unknown14>EC</Unknown14></Color>","委託耕種小員整地",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
10,"開拓目標：在耕地種植作物","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>使用播種模式在耕地種下選好的種子<Unknown14>EC</Unknown14></Color>","聽取耕種小員的說明",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-240,112,40
