key,0,1,2,3,4,5,6
#,Color,Shade,SubOrder,Name,,,
int32,Color,byte,byte,str,str,bit&01,bit&02
0,0,2,1,"","",False,True
1,14999504,2,2,"素雪白","スノウホワイト",False,True
2,11315362,2,3,"蒼白灰","アッシュグレイ",False,True
3,9013124,2,4,"古菩灰","グゥーブーグレイ",False,True
4,6645093,2,5,"石板灰","スレートグレイ",False,True
5,4736834,2,6,"木炭灰","チャコールグレイ",False,True
6,2828579,2,7,"煤煙黑","スートブラック",False,True
7,15114134,4,1,"玫瑰粉","ローズピンク",False,True
8,8612201,4,2,"丁香紫","ライラックパープル",False,True
9,5969705,4,3,"羅蘭莓","ロランベリーレッド",False,True
10,7871002,4,4,"衛月紅","ダラガブレッド",False,True
11,6431239,4,5,"鐵鏽紅","ラストレッド",False,True
12,4527377,4,6,"果酒紅","ワインレッド",False,True
13,13397086,4,7,"珊瑚粉","コーラルピンク",False,True
14,9517863,4,8,"鮮血紅","ブラッドレッド",False,True
15,14985866,4,9,"鮭魚粉","サーモンピンク",False,True
16,12016685,5,1,"日落橙","サンセットオレンジ",False,True
17,8206598,5,2,"台地紅","メサレッド",False,True
18,6966071,5,3,"樹皮棕","バークブラウン",False,True
19,7224612,5,4,"巧克力","チョコレートブラウン",False,True
20,5188895,5,5,"鐵鏽棕","ラセットブラウン",False,True
21,3154203,5,6,"鈷鐵棕","コボルドブラウン",False,True
22,13209942,5,7,"軟木棕","コルクブラウン",False,True
23,10055231,5,8,"盧恩棕","キキルンブラウン",False,True
24,8084525,5,9,"奧猴棕","オポオポブラウン",False,True
25,10651484,5,10,"山羊棕","アルドゴートブラウン",False,True
26,12940324,5,11,"南瓜橙","パンプキンオレンジ",False,True
27,9328667,5,12,"橡果棕","エーコンブラウン",False,True
28,6570518,5,13,"果園棕","オーチャードブラウン",False,True
29,4008205,5,14,"山栗棕","チェスナットブラウン",False,True
30,12166281,5,15,"哥布林","ゴブリンブラウン",False,True
31,9601388,5,16,"頁岩棕","シェールブラウン",False,True
32,6378053,5,17,"鼴鼠棕","モールブラウン",False,True
33,4141865,5,18,"沃土棕","ロームブラウン",False,True
34,15455136,6,1,"骸骨白","ボーンホワイト",False,True
35,12034928,6,2,"黃沙棕","ウルダハンブラウン",False,True
36,14398551,6,3,"陸行鳥黃","デザートイエロー",False,True
37,16434731,6,4,"蜂蜜黃","ハニーイエロー",False,True
38,14982708,6,5,"玉米黃","ミリオンコーンイエロー",False,True
39,12355588,6,6,"猛豹黃","クァールイエロー",False,True
40,15914864,6,7,"奶油黃","クリームイエロー",False,True
41,10847280,6,8,"日影黃","ハラタリイエロー",False,True
42,4207377,6,9,"萄乾棕","レーズンブラウン",False,True
43,5788208,7,1,"泥沼綠","マッドグリーン",False,True
44,12303242,7,2,"妖精綠","シルフグリーン",False,True
45,11251796,7,3,"青檸綠","ライムグリーン",False,True
46,7369510,7,4,"苔蘚綠","モスグリーン",False,True
47,9149539,7,5,"牧草綠","メドウグリーン",False,True
48,4936242,7,6,"橄欖綠","オリーヴグリーン",False,True
49,3290657,7,7,"沼澤綠","マーシュグリーン",False,True
50,10204003,7,8,"蘋果綠","アップルグリーン",False,True
51,6652481,7,9,"仙人掌","サボテンダーグリーン",False,True
52,2640684,7,10,"獵人綠","ハンターグリーン",False,True
53,4219705,7,11,"口花綠","オチューグリーン",False,True
54,6255960,7,12,"金龜綠","アダマンタスグリーン",False,True
55,3886396,7,13,"地神綠","ノフィカグリーン",False,True
56,1976865,7,14,"深林綠","ディープウッドグリーン",False,True
57,9878969,7,15,"天上藍","セレストグリーン",False,True
58,4420210,7,16,"綠松藍","ターコイズグリーン",False,True
59,2049606,7,17,"魔花綠","モルボルグリーン",False,True
60,11715790,8,1,"寒冰藍","アイスブルー",False,True
61,8630482,8,2,"天空藍","スカイブルー",False,True
62,6586784,8,3,"海霧藍","シーフォグブルー",False,True
63,3893382,8,4,"孔雀藍","ピーコックブルー",False,True
64,1850708,8,5,"羅海藍","ロータノブルー",False,True
65,9345964,8,6,"腐屍藍","コープスブルー",False,True
66,5199718,8,7,"青磷藍","セルレアムブルー",False,True
67,3094609,8,8,"靛青藍","ウォードブルー",False,True
68,1711911,8,9,"油墨藍","インクブルー",False,True
69,5996480,8,10,"盜龍藍","ラプトルブルー",False,True
70,3102857,8,11,"東洲藍","オサードブルー",False,True
71,2310514,8,12,"風暴藍","ストームブルー",False,True
72,1124676,8,13,"虛空藍","ヴォイドブルー",False,True
73,2568295,8,14,"皇室藍","ロイヤルブルー",False,True
74,1579319,8,15,"午夜藍","ミッドナイトブルー",False,True
75,3618631,8,16,"陰影藍","シャドウブルー",False,True
76,3222871,8,17,"深淵藍","アビサルブルー",False,True
77,8880046,9,1,"薰衣草","ラベンダーブルー",False,True
78,5326176,9,2,"憂鬱紫","グルームパープル",False,True
79,3288123,9,3,"醋栗紫","カラントパープル",False,True
