key,0,1
#,,
int32,str,str
0,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_000","（★未使用／削除予定★）"
1,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_000","啊，是你啊……
要用妖怪徽章來交換妖怪寵物嗎？
還是想交換帥氣的武器呢？"
2,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_100_000","哎呀，你不是那個武器收藏家嘛！
今天是來看我的嗎？
還是說還有什麼想要的東西？"
3,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_001","（★未使用／削除予定★）"
4,"TEXT_FESYKWMEDALEXCHANGE_00348_HINOSHIN_000_001",""
5,"TEXT_FESYKWMEDALEXCHANGE_00348_Q4_000_001",""
6,"TEXT_FESYKWMEDALEXCHANGE_00348_A4_000_001",""
7,"TEXT_FESYKWMEDALEXCHANGE_00348_A4_000_002",""
8,"TEXT_FESYKWMEDALEXCHANGE_00348_Q1_000_001","要做什麼？"
9,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_001","交換寵物"
10,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_002","交換武器"
11,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_003","進行談話"
12,"TEXT_FESYKWMEDALEXCHANGE_00348_A1_000_004","取消"
13,"TEXT_FESYKWMEDALEXCHANGE_00348_Q2_000_001","要交換哪個寵物？
(所需妖怪徽章數：<Value>IntegerParameter(1)</Value>　持有數量：<Format(<Value>IntegerParameter(2)</Value>,FF022C)/>)"
14,"TEXT_FESYKWMEDALEXCHANGE_00348_A2_000_001","<Sheet(Companion,IntegerParameter(1),0)/>"
15,"TEXT_FESYKWMEDALEXCHANGE_00348_A2_000_002","取消"
16,"TEXT_FESYKWMEDALEXCHANGE_00348_Q6_000_001","確定要交換<Sheet(Companion,IntegerParameter(1),0)/>嗎？"
17,"TEXT_FESYKWMEDALEXCHANGE_00348_A6_000_001","是"
18,"TEXT_FESYKWMEDALEXCHANGE_00348_A6_000_002","否"
19,"TEXT_FESYKWMEDALEXCHANGE_00348_ACTOR_000_002","（★未使用／削除予定★）"
