key,0,1
#,,
int32,str,str
0,"TEXT_BANAMA104_01225_SEQ_00","灰陣營的菲布布·夏遇到了無法容忍的事。"
1,"TEXT_BANAMA104_01225_SEQ_01","接受了菲布布·夏的委託。前往贊拉克，首先討伐3隻<Sheet(BNpcName,2511,0)/>，再討伐現身的頭目<Sheet(BNpcName,2360,0)/>。"
2,"TEXT_BANAMA104_01225_SEQ_02","討伐了<Sheet(BNpcName,2511,0)/>及其頭目<Sheet(BNpcName,2360,0)/>。向灰陣營的菲布布·夏報告。"
3,"TEXT_BANAMA104_01225_SEQ_03","向菲布布·夏報告完畢。討伐了<Sheet(BNpcName,2360,0)/>之後，<Sheet(BNpcName,2511,0)/>們應該會安分一段時間。"
4,"TEXT_BANAMA104_01225_SEQ_04",""
5,"TEXT_BANAMA104_01225_SEQ_05",""
6,"TEXT_BANAMA104_01225_SEQ_06",""
7,"TEXT_BANAMA104_01225_SEQ_07",""
8,"TEXT_BANAMA104_01225_SEQ_08",""
9,"TEXT_BANAMA104_01225_SEQ_09",""
10,"TEXT_BANAMA104_01225_SEQ_10",""
11,"TEXT_BANAMA104_01225_SEQ_11",""
12,"TEXT_BANAMA104_01225_SEQ_12",""
13,"TEXT_BANAMA104_01225_SEQ_13",""
14,"TEXT_BANAMA104_01225_SEQ_14",""
15,"TEXT_BANAMA104_01225_SEQ_15",""
16,"TEXT_BANAMA104_01225_SEQ_16",""
17,"TEXT_BANAMA104_01225_SEQ_17",""
18,"TEXT_BANAMA104_01225_SEQ_18",""
19,"TEXT_BANAMA104_01225_SEQ_19",""
20,"TEXT_BANAMA104_01225_SEQ_20",""
21,"TEXT_BANAMA104_01225_SEQ_21",""
22,"TEXT_BANAMA104_01225_SEQ_22",""
23,"TEXT_BANAMA104_01225_SEQ_23",""
24,"TEXT_BANAMA104_01225_TODO_00","討伐3隻<Sheet(BNpcName,2511,0)/> 再討伐現身的<Sheet(BNpcName,2360,0)/>"
25,"TEXT_BANAMA104_01225_TODO_01","向菲布布·夏報告"
26,"TEXT_BANAMA104_01225_TODO_02",""
27,"TEXT_BANAMA104_01225_TODO_03",""
28,"TEXT_BANAMA104_01225_TODO_04",""
29,"TEXT_BANAMA104_01225_TODO_05",""
30,"TEXT_BANAMA104_01225_TODO_06",""
31,"TEXT_BANAMA104_01225_TODO_07",""
32,"TEXT_BANAMA104_01225_TODO_08",""
33,"TEXT_BANAMA104_01225_TODO_09",""
34,"TEXT_BANAMA104_01225_TODO_10",""
35,"TEXT_BANAMA104_01225_TODO_11",""
36,"TEXT_BANAMA104_01225_TODO_12",""
37,"TEXT_BANAMA104_01225_TODO_13",""
38,"TEXT_BANAMA104_01225_TODO_14",""
39,"TEXT_BANAMA104_01225_TODO_15",""
40,"TEXT_BANAMA104_01225_TODO_16",""
41,"TEXT_BANAMA104_01225_TODO_17",""
42,"TEXT_BANAMA104_01225_TODO_18",""
43,"TEXT_BANAMA104_01225_TODO_19",""
44,"TEXT_BANAMA104_01225_TODO_20",""
45,"TEXT_BANAMA104_01225_TODO_21",""
46,"TEXT_BANAMA104_01225_TODO_22",""
47,"TEXT_BANAMA104_01225_TODO_23",""
48,"TEXT_BANAMA104_01225_FIBUBBGAH_000_001","贊拉克地區是我們蜥蜴人族的聖地。
保衛這裡可以說是我們義不容辭的責任。"
49,"TEXT_BANAMA104_01225_FIBUBBGAH_000_002","最近<Sheet(BNpcName,2511,0)/>引發的問題特別嚴重。
那群傢伙食慾旺盛，把地上的東西都吃光了，
還無節操地不斷增殖……可謂大地的憂患。"
50,"TEXT_BANAMA104_01225_FIBUBBGAH_000_003","因此，必須要消滅它們的頭目——巨龜<Sheet(BNpcName,2360,0)/>，
它是造成增殖的主要原因。"
51,"TEXT_BANAMA104_01225_FIBUBBGAH_000_004","如果找不到<Sheet(BNpcName,2360,0)/>，
你就去狩獵<Sheet(BNpcName,2511,0)/>，把它引出來。
強者啊，這項使命就交給你了。"
52,"TEXT_BANAMA104_01225_FIBUBBGAH_000_011","討伐對象是「<Sheet(BNpcName,2511,0)/>」和它們的頭目「<Sheet(BNpcName,2360,0)/>」。
強者啊，去狩獵<Sheet(BNpcName,2511,0)/>，
然後把<Sheet(BNpcName,2360,0)/>引出來！"
53,"TEXT_BANAMA104_01225_FIBUBBGAH_000_021","你成功討伐了<Sheet(BNpcName,2360,0)/>，幹得漂亮！
<Sheet(BNpcName,2511,0)/>增殖起來沒個完。
但只要打倒了<Sheet(BNpcName,2360,0)/>，它們也會消停一陣子吧。"
54,"TEXT_BANAMA104_01225_FIBUBBGAH_000_022","……患生所忽，沒準什麼時候它們又會成群出現。
下次再有機會，這項任務也交給你了。"
55,"TEXT_BANAMA104_01225_TORTOISE_BALLOON_001","<Sheet(BNpcName,2360,0)/>出現了！"
56,"TEXT_BANAMA104_01225_POP_MESSAGE","察覺到了敵人的氣息！"
