key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSD016_01309_SEQ_00","拉萊娜想要採購蠻神的祭器。"
1,"TEXT_GAIUSD016_01309_SEQ_01","將要去籌備蠻神祭器的事情告訴了拉萊娜。討伐以下被再次召喚出的蠻神，獲取3種祭器。打倒蠻神迦樓羅可以獲取<Sheet(EventItem,2001145,0)/>。打倒蠻神泰坦可以獲取<Sheet(EventItem,2001146,0)/>。打倒蠻神伊弗利特可以獲取<Sheet(EventItem,2001147,0)/>。

※可以通過任務搜尋器參加。"
2,"TEXT_GAIUSD016_01309_SEQ_02","收集齊了所有蠻神祭器。交給喪靈鐘的拉萊娜。"
3,"TEXT_GAIUSD016_01309_SEQ_03","將蠻神祭器交給了拉萊娜，並獲得了<Sheet(Item,　7004,0)/>。如果想要得到更多的<Sheet(Item,　7004,0)/>，可以在休息一段時間之後，再次獲取蠻神祭器。"
4,"TEXT_GAIUSD016_01309_SEQ_04",""
5,"TEXT_GAIUSD016_01309_SEQ_05",""
6,"TEXT_GAIUSD016_01309_SEQ_06",""
7,"TEXT_GAIUSD016_01309_SEQ_07",""
8,"TEXT_GAIUSD016_01309_SEQ_08",""
9,"TEXT_GAIUSD016_01309_SEQ_09",""
10,"TEXT_GAIUSD016_01309_SEQ_10",""
11,"TEXT_GAIUSD016_01309_SEQ_11",""
12,"TEXT_GAIUSD016_01309_SEQ_12",""
13,"TEXT_GAIUSD016_01309_SEQ_13",""
14,"TEXT_GAIUSD016_01309_SEQ_14",""
15,"TEXT_GAIUSD016_01309_SEQ_15",""
16,"TEXT_GAIUSD016_01309_SEQ_16",""
17,"TEXT_GAIUSD016_01309_SEQ_17",""
18,"TEXT_GAIUSD016_01309_SEQ_18",""
19,"TEXT_GAIUSD016_01309_SEQ_19",""
20,"TEXT_GAIUSD016_01309_SEQ_20",""
21,"TEXT_GAIUSD016_01309_SEQ_21",""
22,"TEXT_GAIUSD016_01309_SEQ_22",""
23,"TEXT_GAIUSD016_01309_SEQ_23",""
24,"TEXT_GAIUSD016_01309_TODO_00","完成迦樓羅殲殛戰 獲取<Sheet(EventItem,2001145,0)/>"
25,"TEXT_GAIUSD016_01309_TODO_01","完成泰坦殲殛戰 獲取<Sheet(EventItem,2001146,0)/>"
26,"TEXT_GAIUSD016_01309_TODO_02","完成伊弗利特殲殛戰 獲取<Sheet(EventItem,2001147,0)/>"
27,"TEXT_GAIUSD016_01309_TODO_03","將收集到的物品交給喪靈鐘的拉萊娜"
28,"TEXT_GAIUSD016_01309_TODO_04",""
29,"TEXT_GAIUSD016_01309_TODO_05",""
30,"TEXT_GAIUSD016_01309_TODO_06",""
31,"TEXT_GAIUSD016_01309_TODO_07",""
32,"TEXT_GAIUSD016_01309_TODO_08",""
33,"TEXT_GAIUSD016_01309_TODO_09",""
34,"TEXT_GAIUSD016_01309_TODO_10",""
35,"TEXT_GAIUSD016_01309_TODO_11",""
36,"TEXT_GAIUSD016_01309_TODO_12",""
37,"TEXT_GAIUSD016_01309_TODO_13",""
38,"TEXT_GAIUSD016_01309_TODO_14",""
39,"TEXT_GAIUSD016_01309_TODO_15",""
40,"TEXT_GAIUSD016_01309_TODO_16",""
41,"TEXT_GAIUSD016_01309_TODO_17",""
42,"TEXT_GAIUSD016_01309_TODO_18",""
43,"TEXT_GAIUSD016_01309_TODO_19",""
44,"TEXT_GAIUSD016_01309_TODO_20",""
45,"TEXT_GAIUSD016_01309_TODO_21",""
46,"TEXT_GAIUSD016_01309_TODO_22",""
47,"TEXT_GAIUSD016_01309_TODO_23",""
48,"TEXT_GAIUSD016_01309_LARAINA_000_000","哎呀，貪婪的冒險者！
……既然你又來找我，
那是不是說明又想要<Sheet(Item,　7004,0)/>了啊？"
49,"TEXT_GAIUSD016_01309_LARAINA_000_001","不過也正好有人來詢問之前那種低級趣味的祭器。
如果你能幫我籌備祭器的話那再好不過了。
好了，那你就快點行動，收集好拿給我吧！"
50,"TEXT_GAIUSD016_01309_LARAINA_000_010","有人來詢問之前那種低級趣味的祭器。
如果你能幫我籌備祭器的話那再好不過了。
好了，那你就快點行動，收集好拿給我吧！"
51,"TEXT_GAIUSD016_01309_LARAINA_000_011","哼，了不起……看來是真貨。
好了，這是跟你說好的<Sheet(Item,　7004,0)/>。
就照這個勢頭繼續拜託了！"
52,"TEXT_GAIUSD016_01309_LARAINA_000_012","……哼哼哼，就照這樣，把羅薇娜的顧客都搶走。
然後在這裡混出名堂來，等擁有自己店鋪的時候，
再把所有人都搶過來！"
