key,0,1
#,,
int32,str,str
0,"TEXT_FESCHN002_01545_SEQ_00","※本任務是特定期間內的任務。

前來造訪利姆薩·羅敏薩的桃源老師，想委託冒險者再次擊退夕獸。"
1,"TEXT_FESCHN002_01545_SEQ_01","※本任務只有在季節活動開放期間才能接受和進行。
　季節活動結束後無法進行，敬請注意。
　詳情請參見官方網站。

桃源老師希望用<Sheet(EventItem,2001348,0)/>削弱來襲的夕獸，然後再次將其擊退。前往中拉諾西亞「和風陸門」的東南方向、拉諾西亞低地「砂鹽灘」的東邊、黑衣森林中央林區「彎枝牧場」的東南方向、黑衣森林北部林區「林場水車」的南邊、中薩納蘭「烏爾達哈調車庫」的東南方向、東薩納蘭「枯骨營地」的東邊完成危命任務「朝聞道」，多次擊退夕獸。"
2,"TEXT_FESCHN002_01545_SEQ_02","再次擊退了夕獸。向艦尾樓的桃源老師報告。"
3,"TEXT_FESCHN002_01545_SEQ_03","向桃源老師彙報了擊退夕獸的事情後，桃源老師感激不盡，並送給了冒險者謝禮。與他的侍從豔麗對話，便可以交換東方的物品。今後如果見到夕獸的話，就全力將它擊退。"
4,"TEXT_FESCHN002_01545_SEQ_04","空欄"
5,"TEXT_FESCHN002_01545_SEQ_05","空欄"
6,"TEXT_FESCHN002_01545_SEQ_06","空欄"
7,"TEXT_FESCHN002_01545_SEQ_07","空欄"
8,"TEXT_FESCHN002_01545_SEQ_08","空欄"
9,"TEXT_FESCHN002_01545_SEQ_09","空欄"
10,"TEXT_FESCHN002_01545_SEQ_10","空欄"
11,"TEXT_FESCHN002_01545_SEQ_11","空欄"
12,"TEXT_FESCHN002_01545_SEQ_12","空欄"
13,"TEXT_FESCHN002_01545_SEQ_13","空欄"
14,"TEXT_FESCHN002_01545_SEQ_14","空欄"
15,"TEXT_FESCHN002_01545_SEQ_15","空欄"
16,"TEXT_FESCHN002_01545_SEQ_16","空欄"
17,"TEXT_FESCHN002_01545_SEQ_17","空欄"
18,"TEXT_FESCHN002_01545_SEQ_18","空欄"
19,"TEXT_FESCHN002_01545_SEQ_19","空欄"
20,"TEXT_FESCHN002_01545_SEQ_20","空欄"
21,"TEXT_FESCHN002_01545_SEQ_21","空欄"
22,"TEXT_FESCHN002_01545_SEQ_22","空欄"
