key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNZ703_01907_SEQ_00","尊杜集落的寇努瓦努很想要某樣東西。"
1,"TEXT_HEAVNZ703_01907_SEQ_01","寇努瓦努委託冒險者拿回<Sheet(EventItem,2001668,0)/>。從阿巴拉提亞雲海藍天窗的<Sheet(BNpcName,3510,0)/>身上獲取5個<Sheet(EventItem,2001668,0)/>。"
2,"TEXT_HEAVNZ703_01907_SEQ_02","獲得了5個<Sheet(EventItem,2001668,0)/>。將<Sheet(EventItem,2001668,0)/>交給尊杜集落的寇努瓦努。"
3,"TEXT_HEAVNZ703_01907_SEQ_03","將<Sheet(EventItem,2001668,0)/>交給了寇努瓦努。<Sheet(EventItem,2001668,0)/>非常美味且有一種讓人懷念的味道……大概。"
4,"TEXT_HEAVNZ703_01907_SEQ_04",""
5,"TEXT_HEAVNZ703_01907_SEQ_05",""
6,"TEXT_HEAVNZ703_01907_SEQ_06",""
7,"TEXT_HEAVNZ703_01907_SEQ_07",""
8,"TEXT_HEAVNZ703_01907_SEQ_08",""
9,"TEXT_HEAVNZ703_01907_SEQ_09",""
10,"TEXT_HEAVNZ703_01907_SEQ_10",""
11,"TEXT_HEAVNZ703_01907_SEQ_11",""
12,"TEXT_HEAVNZ703_01907_SEQ_12",""
13,"TEXT_HEAVNZ703_01907_SEQ_13",""
14,"TEXT_HEAVNZ703_01907_SEQ_14",""
15,"TEXT_HEAVNZ703_01907_SEQ_15",""
16,"TEXT_HEAVNZ703_01907_SEQ_16",""
17,"TEXT_HEAVNZ703_01907_SEQ_17",""
18,"TEXT_HEAVNZ703_01907_SEQ_18",""
19,"TEXT_HEAVNZ703_01907_SEQ_19",""
20,"TEXT_HEAVNZ703_01907_SEQ_20",""
21,"TEXT_HEAVNZ703_01907_SEQ_21",""
22,"TEXT_HEAVNZ703_01907_SEQ_22",""
23,"TEXT_HEAVNZ703_01907_SEQ_23",""
24,"TEXT_HEAVNZ703_01907_TODO_00","從<Sheet(BNpcName,3510,0)/>身上獲取<Sheet(EventItem,2001668,0)/>"
25,"TEXT_HEAVNZ703_01907_TODO_01","將<Sheet(EventItem,2001668,0)/>交給寇努瓦努"
26,"TEXT_HEAVNZ703_01907_TODO_02",""
27,"TEXT_HEAVNZ703_01907_TODO_03",""
28,"TEXT_HEAVNZ703_01907_TODO_04",""
29,"TEXT_HEAVNZ703_01907_TODO_05",""
30,"TEXT_HEAVNZ703_01907_TODO_06",""
31,"TEXT_HEAVNZ703_01907_TODO_07",""
32,"TEXT_HEAVNZ703_01907_TODO_08",""
33,"TEXT_HEAVNZ703_01907_TODO_09",""
34,"TEXT_HEAVNZ703_01907_TODO_10",""
35,"TEXT_HEAVNZ703_01907_TODO_11",""
36,"TEXT_HEAVNZ703_01907_TODO_12",""
37,"TEXT_HEAVNZ703_01907_TODO_13",""
38,"TEXT_HEAVNZ703_01907_TODO_14",""
39,"TEXT_HEAVNZ703_01907_TODO_15",""
40,"TEXT_HEAVNZ703_01907_TODO_16",""
41,"TEXT_HEAVNZ703_01907_TODO_17",""
42,"TEXT_HEAVNZ703_01907_TODO_18",""
43,"TEXT_HEAVNZ703_01907_TODO_19",""
44,"TEXT_HEAVNZ703_01907_TODO_20",""
45,"TEXT_HEAVNZ703_01907_TODO_21",""
46,"TEXT_HEAVNZ703_01907_TODO_22",""
47,"TEXT_HEAVNZ703_01907_TODO_23",""
48,"TEXT_HEAVNZ703_01907_CONUVANU_000_000","真難得、真難得，在這載歌載舞的時刻，
我遇到了一位旅行的客人。
這場相遇如此難逢，就好比雲海上吹拂不定的風。"
49,"TEXT_HEAVNZ703_01907_CONUVANU_000_001","拜託、拜託，旅人啊我有一事相求。
可否代替寇努瓦努去打倒瓦魔蛾幼蟲，
收集5個<Sheet(EventItem,2001668,0)/>帶來交予我？"
50,"TEXT_HEAVNZ703_01907_CONUVANU_000_010","拜託、拜託，旅人啊我有一事相求。
可否代替寇努瓦努去打倒瓦魔蛾幼蟲，
收集5個<Sheet(EventItem,2001668,0)/>帶來交予我？"
51,"TEXT_HEAVNZ703_01907_CONUVANU_000_020","拜託、拜託，旅人啊我有一事相求。
可否代替寇努瓦努去打倒瓦魔蛾幼蟲，
收集5個<Sheet(EventItem,2001668,0)/>帶來交予我？"
52,"TEXT_HEAVNZ703_01907_CONUVANU_000_021","太好了、太好了，你的相助我銘記心中。
在起舞之前吃下幼蟲，就能獲得力量，
從而跳出更優美的舞了！"
53,"TEXT_HEAVNZ703_01907_CONUVANU_000_022","<Sheet(EventItem,2001668,0)/>的味道，非常、非常，好吃。
這令人懷念的味道，旅人你可曾有幸品嘗？
若有意、若有意，何不試個新鮮？"
