key,0,1
#,,
int32,str,str
0,"TEXT_FESVLT502_03206_SEQ_00","※本任務是特定期間內的任務。

米·凱特露天劇場的莉賽特·德·瓦倫提昂有活動想要讓冒險者參加。"
1,"TEXT_FESVLT502_03206_SEQ_01","※本任務只有在季節活動開放期間才能接受和進行。
　季節活動結束後無法進行，敬請注意。
　詳情請參見官方網站。

莉賽特催促冒險者去進行緣分占卜。分別和米·凱特露天劇場附近的溫和的占卜師、美豔的占卜師以及粗魯的占卜師對話，請她們占卜冒險機緣、寶藏運勢和愛情姻緣。"
2,"TEXT_FESVLT502_03206_SEQ_02","請占卜師們占卜了和對方的運勢。向米·凱特露天劇場的莉賽特·德·瓦倫提昂報告。"
3,"TEXT_FESVLT502_03206_SEQ_03","向莉賽特報告完畢。想要再次進行緣分占卜的話，就和她打聲招呼吧。"
4,"TEXT_FESVLT502_03206_SEQ_04",""
5,"TEXT_FESVLT502_03206_SEQ_05",""
6,"TEXT_FESVLT502_03206_SEQ_06",""
7,"TEXT_FESVLT502_03206_SEQ_07",""
8,"TEXT_FESVLT502_03206_SEQ_08",""
9,"TEXT_FESVLT502_03206_SEQ_09",""
10,"TEXT_FESVLT502_03206_SEQ_10",""
11,"TEXT_FESVLT502_03206_SEQ_11",""
12,"TEXT_FESVLT502_03206_SEQ_12",""
13,"TEXT_FESVLT502_03206_SEQ_13",""
14,"TEXT_FESVLT502_03206_SEQ_14",""
15,"TEXT_FESVLT502_03206_SEQ_15",""
16,"TEXT_FESVLT502_03206_SEQ_16",""
17,"TEXT_FESVLT502_03206_SEQ_17",""
18,"TEXT_FESVLT502_03206_SEQ_18",""
19,"TEXT_FESVLT502_03206_SEQ_19",""
20,"TEXT_FESVLT502_03206_SEQ_20",""
21,"TEXT_FESVLT502_03206_SEQ_21",""
22,"TEXT_FESVLT502_03206_SEQ_22",""
23,"TEXT_FESVLT502_03206_SEQ_23",""
24,"TEXT_FESVLT502_03206_TODO_00","組成2人小隊和占卜師對話"
25,"TEXT_FESVLT502_03206_TODO_01","向米·凱特露天劇場的莉賽特·德·瓦倫提昂報告"
26,"TEXT_FESVLT502_03206_TODO_02",""
27,"TEXT_FESVLT502_03206_TODO_03",""
28,"TEXT_FESVLT502_03206_TODO_04",""
29,"TEXT_FESVLT502_03206_TODO_05",""
