key,0,1
#,,
int32,str,str
0,"TEXT_JOBAOZ800_04777_SEQ_00","烏爾達哈的馬丁顯得有些不安。
(翻譯:螢詩月@巴哈姆特)"
1,"TEXT_JOBAOZ800_04777_SEQ_01","和馬丁交談後，蘿伊絲前來告訴我們新的反派已經準備好了。這次我們有一位特別的合作夥伴，所以我們打算一起去問候他。在烏爾達哈的政府區與「蘿伊絲」對話。"
2,"TEXT_JOBAOZ800_04777_SEQ_02","這位特別的合作夥伴就是戈德貝爾特。據說多虧了他的技術和經驗，我們才能製作出新的敵對角色服裝和舞台設備。在天青鬥場進行試穿和試運行，馬丁成為了黃金鬥士戈爾德爾。看來，這個敵對角色的靈感來自於他的吝嗇個性。在密爾瓦內斯禮拜堂附近與「馬丁」對話。"
3,"TEXT_JOBAOZ800_04777_SEQ_03","雖然是意想不到的師徒對決，但在假面狂歡中挑戰擊敗黃金鬥士戈爾德爾吧！

※完成假面狂歡第32關後，可以從密爾瓦內斯禮拜堂附近的馬丁接受下一個青魔法師的任務。"
4,"TEXT_JOBAOZ800_04777_SEQ_04",""
5,"TEXT_JOBAOZ800_04777_SEQ_05",""
6,"TEXT_JOBAOZ800_04777_SEQ_06",""
7,"TEXT_JOBAOZ800_04777_SEQ_07",""
8,"TEXT_JOBAOZ800_04777_SEQ_08",""
9,"TEXT_JOBAOZ800_04777_SEQ_09",""
10,"TEXT_JOBAOZ800_04777_SEQ_10",""
11,"TEXT_JOBAOZ800_04777_SEQ_11",""
12,"TEXT_JOBAOZ800_04777_SEQ_12",""
13,"TEXT_JOBAOZ800_04777_SEQ_13",""
14,"TEXT_JOBAOZ800_04777_SEQ_14",""
15,"TEXT_JOBAOZ800_04777_SEQ_15",""
16,"TEXT_JOBAOZ800_04777_SEQ_16",""
17,"TEXT_JOBAOZ800_04777_SEQ_17",""
18,"TEXT_JOBAOZ800_04777_SEQ_18",""
19,"TEXT_JOBAOZ800_04777_SEQ_19",""
20,"TEXT_JOBAOZ800_04777_SEQ_20",""
21,"TEXT_JOBAOZ800_04777_SEQ_21",""
22,"TEXT_JOBAOZ800_04777_SEQ_22",""
23,"TEXT_JOBAOZ800_04777_SEQ_23",""
24,"TEXT_JOBAOZ800_04777_TODO_00","與蘿伊絲對話"
