key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_000_1","現在還沒有給 <Highlight>ObjectParameter(1)</Highlight> 的新郵件庫啵。"
1,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_000_001","現在還沒有給你這個後輩的新郵件庫啵。"
2,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_100_001","小有進展的後輩，
現在還沒有給你的新郵件庫啵。"
3,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_101_001","現在還沒有給 <Highlight>ObjectParameter(1)</Highlight> 的新郵件庫啵。
這種事情很平常啦庫啵！"
4,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_102_001","現在還沒有給 <Highlight>ObjectParameter(1)</Highlight> 的新郵件庫啵。
菲奧．烏兒送來新郵件的話莫古一定會告訴你的庫啵！"
5,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_000_2"," <Highlight>ObjectParameter(1)</Highlight> ，
這裡有<Value>IntegerParameter(1)</Value>封你的新郵件庫啵。"
6,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_000_002","後輩後輩，
這裡有<Value>IntegerParameter(1)</Value>封你的新郵件庫啵。"
7,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_100_002","小有進展的後輩，
這裡有<Value>IntegerParameter(1)</Value>封你的新郵件庫啵。"
8,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_101_002"," <Highlight>ObjectParameter(1)</Highlight> ，
這裡有<Value>IntegerParameter(1)</Value>封你的新郵件庫啵。
快來看看吧庫啵！"
9,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_102_002"," <Highlight>ObjectParameter(1)</Highlight> ，
這裡有<Value>IntegerParameter(1)</Value>封你的新郵件庫啵。
都是菲奧．烏兒送來的，快來看看吧庫啵！"
10,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_000_3","……還有，你差不多該整理一下郵件了，
要不然都收不到新的郵件了庫啵。"
11,"TEXT_CMNDEFMOGLETTER_00002_LETTERMOOGLE_000_003","……還有，你差不多該整理一下郵件了，
要不然都收不到新的郵件了庫啵。
整理郵件可是郵務士的素養庫啵！"
