key,0,1
#,,
int32,str,str
0,"TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_000","不好意思啊，
這裡是不允許非相關人員進入的，還請你儘快離開。"
1,"TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_010","啊， <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> ！
辛苦你了，接待處一切正常。"
2,"TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_020","啊嗚嗚，真是給你添麻煩了……
我是太想讓大家知道 <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> 有多厲害，
所以一不小心就說個不停了……"
3,"TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_030","啊， <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> ！
調查還順利嗎？
接待沙之家新人的接待處一切正常哦！"
4,"TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_040","嗯……
因為人員有所增加，所以我正在整理名冊。"
5,"TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_041","我在 <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> 的名字上畫了個小紅花哦！
請你今後也要繼續努力啊！"
6,"TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_050","這個也順利完成！那個也沒問題了……
這可是沙之家有史以來最重要的任務！
接待處也會加油的！"
7,"TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_060"," <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> 來救我們的時候，
我哭得一塌糊塗呢……你要替我保密啊。"
8,"TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_070","啊， <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/> ！
雖然和加雷馬帝國的戰鬥告一段落了，
不過還是有些其他的問題堆積如山。"
9,"TEXT_REGWILTHEWAKINGSANDS_00131_TATARU_000_071","今後也要拜託你了。
當然我也會努力的！"
