key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_ERROR_DISABLE","本窗口還在準備中。
請過段時間再來。"
1,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_ERROR_RETAINER_COUNT","現階段您沒有僱用雇員。"
2,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_ERROR_RETAINER_CHARGE","無法辦理雇員手續。
雇員的契約已過期。"
3,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_DEFAULT_TALK_01","您好，這裡是水晶都商業區宇宙和音的雇員櫃檯。
請問有什麼需要我幫忙嗎？"
4,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_REGISTER_TALK_01","請選擇想透過仙子族的中介將登記市場變更至水晶都的雇員。"
5,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_REGISTER_ASK","要將雇員<Highlight>StringParameter(1)</Highlight>的登記市場改為水晶都嗎？"
6,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_REGISTER_SUCCESS","將雇員<Highlight>StringParameter(1)</Highlight>的登記市場改為水晶都了。"
7,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_REGISTER_ALREADY","該雇員已在水晶都市場登記過了。"
8,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_REGISTER_FAILED","無法將雇員登記進市場。"
9,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_MAIN_MENU_TITLE","有什麼事？"
10,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_MAIN_MENU_REGISTER","想將雇員的登記市場改為水晶都"
11,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_MAIN_MENU_ABOUT","想瞭解水晶都的市場"
12,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_MAIN_MENU_CASHBACK","想瞭解各市場的減稅資訊"
13,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_MAIN_MENU_CANCEL","取消"
14,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_MAIN_MENU_ABOUT_01","水晶都的商業區宇宙和音允許將雇員登記進市場展開交易活動。"
15,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_MAIN_MENU_ABOUT_02","聽說您希望透過仙子族進行中介？
這完全沒有問題，請您放心。"
16,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_CASHBACK_ASK_TITLE","市場的減稅資訊"
17,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_CASHBACK_ASK","<Sheet(Town,IntegerParameter(1),0)/>　[減稅]"
18,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_CASHBACK_ASK_NONE","<Sheet(Town,IntegerParameter(1),0)/>　[不減稅]"
19,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_CASHBACK_ASK_ABOUT","什麼是減稅"
20,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_CASHBACK_ASK_CANCEL","返回"
21,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_NO_CASHBACK","當前<Sheet(Town,IntegerParameter(1),0)/>並沒有在實施減稅活動，
出售道具時繳納的稅金為成交價格的<Value>IntegerParameter(2)</Value>%。"
22,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_CASHBACK","至<Time(IntegerParameter(2))/><Value>TopLevelParameter(222)</Value>/<Value>TopLevelParameter(221)</Value>/<Value>TopLevelParameter(219)</Value>為止，<Sheet(Town,IntegerParameter(1),0)/>實施減稅<Value>IntegerParameter(3)</Value>%的活動。
此期間內出售道具時繳納的稅金為成交價格的<Value>IntegerParameter(4)</Value>%。"
23,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_CASHBACK_ABOUT_01","當出售道具的雇員相對較少時，
該國家的市場會減收成交時所需繳納的稅金。
以此優待出售人。"
24,"TEXT_CMNDEFRETAINERMARKETREGISTER_00581_CASHBACK_ABOUT_02","減稅活動可能會因維護等原因影響而提早結束，
請諒解。"
