key,0,1
#,,
int32,str,str
0,"TEXT_VOICEMAN_06401_000010_SOULEATER","靈魂的―― 饗宴――
絕對  不能  被中斷！！"
1,"TEXT_VOICEMAN_06401_000015_SOULEATER","（★未使用／削除予定★）"
2,"TEXT_VOICEMAN_06401_000020_PANDAEMONIUM","我名為―― 萬魔殿"
3,"TEXT_VOICEMAN_06401_000030_PANDAEMONIUM","超越萬數  失敗作品的盡頭――
從沒有靈魂的器皿中  誕生出寄宿生命的殿堂！"
4,"TEXT_VOICEMAN_06401_000040_THEMIS","這份雀躍的心情  也是因為雅典娜的操控嗎――
不過  我也一直在考慮  什麼姿態適合與你戰鬥――！"
5,"TEXT_VOICEMAN_06401_000050_THEMIS","讓你看到  我的一切吧
這就是  我的變身――！"
6,"TEXT_VOICEMAN_06401_000060_ATHENA","歡迎來到  神的御座――
來吧  讓我看看  你的一切"
7,"TEXT_VOICEMAN_06401_000070_THEMIS","……原來如此。
看來這就是赫菲斯托斯故事的始末了。"
8,"TEXT_VOICEMAN_06401_000080_THEMIS","現在，記憶水晶中的真相也清楚了。
有關萬魔殿的異動，應該終於可以說算是結束了吧。"
9,"TEXT_VOICEMAN_06401_000090_THEMIS","我也、能毫無遺憾地消失了。
真的很感謝你，一路走到這裡。"
10,"TEXT_VOICEMAN_06401_000100_THEMIS","呼……"
11,"TEXT_VOICEMAN_06401_000110_THEMIS","せっかくだ、解かなくてもいい謎も解いていくかい？"
12,"TEXT_VOICEMAN_06401_000120_THEMIS","この星海に漂うエリディブスの魂から創られた私が、
何を記憶していて、本当はどう思っているのか……。"
13,"TEXT_VOICEMAN_06401_000130_THEMIS","正直に白状しよう。
パンデモニウムについては記憶が補強されているようだが、
それ以外は、あらゆることが穴だらけだ。"
14,"TEXT_VOICEMAN_06401_000140_THEMIS","アテナの創り方による影響もあるだろうが……
「私」はもう、記憶が保持できなくなっていたのだろう？"
15,"TEXT_VOICEMAN_06401_000150_THEMIS","ただ、おぼろげには思い出せるよ。
君にとっては過去の、私にとっては未来の光景を……。"
16,"TEXT_VOICEMAN_06401_000160_THEMIS","水晶の塔の頂きで、君と私は相対する。
そして、同じ場所から君を送り出すんだ……"
17,"TEXT_VOICEMAN_06401_000170_THEMIS","私たちの時代へ……エルピスへ。"
18,"TEXT_VOICEMAN_06401_000180_THEMIS","どうしてそうしようと思いついたのか、
影法師には、正しいところはわからない。"
19,"TEXT_VOICEMAN_06401_000190_THEMIS","……が、推測を立てることはできる。"
20,"TEXT_VOICEMAN_06401_000200_THEMIS","「私」は欠けた記憶のどこかで、
君とパンデモニウムに挑んだことを覚えていた。"
21,"TEXT_VOICEMAN_06401_000210_THEMIS","その姿を忘れ、経緯を忘れ、結末を忘れていたとしても……
ほんのひと欠片残った事実が、
君はエルピスに行くべきだと「私」に思わせたんだ。"
22,"TEXT_VOICEMAN_06401_000220_THEMIS","そうして君をエルピスに送ったことが、
アーテリスを救うことに繋がったというのなら……"
23,"TEXT_VOICEMAN_06401_000230_THEMIS","無駄じゃなかったよ。
君と<74>FF0AE38386E3839FE382B9FF0AE3828FE3819FE38197</74>が共に戦ったことは……何ひとつとして。"
24,"TEXT_VOICEMAN_06401_000235_THEMIS","なら、恨むも何もないだろう？"
25,"TEXT_VOICEMAN_06401_000240_THEMIS","まあ、当の「私」の魂は、違う考えかもしれないけれどね。"
26,"TEXT_VOICEMAN_06401_000250_THEMIS","同胞たちとの再会が果たせるよう、
苦労してこちらの海まで渡ってきたようだ。"
27,"TEXT_VOICEMAN_06401_000260_THEMIS","テミスとしては理解しがたい執着だが……
そういう想いがあるというのも、
万魔殿の深層を見た今ならば、認められる気がするよ。"
28,"TEXT_VOICEMAN_06401_000270_THEMIS","さて、これ以上幕引きを伸ばすのは野暮というものだろう。"
29,"TEXT_VOICEMAN_06401_000280_THEMIS","今の時代に、冥界が星海と呼ばれているのは気に入った。
ここに煌めく星々すべてが、それぞれの生命だ。"
30,"TEXT_VOICEMAN_06401_000290_THEMIS","数多の星のどれでもない。
君という星が私の前に現れたことを、幸福に思う。"
31,"TEXT_VOICEMAN_06401_000300_THEMIS","どうかこれからも、この世界すら超え、思うがまま飛び給え。
遥か彼方を目指す、ほうき星の如く……。"
32,"TEXT_VOICEMAN_06401_000310_ELIDIBUS","――最後までわからないものだな
眠りの縁で  こんな真実に出会おうとは"
33,"TEXT_VOICEMAN_06401_000320_ELIDIBUS","歴史は覆らない
勝者の道だけが続いていくが  しかし――"
34,"TEXT_VOICEMAN_06401_000330_ELIDIBUS","この星が  こうして続いていくならば――"
35,"TEXT_VOICEMAN_06401_000340_ELIDIBUS","啊――"
36,"TEXT_VOICEMAN_06401_000350_ELIDIBUS","是光啊——"
