key,0,1
#,,
int32,str,str
0,"TEXT_CLSARM451_00283_SEQ_00","鑄甲匠公會的赫．納恩薩，有事情想告訴冒險者。"
1,"TEXT_CLSARM451_00283_SEQ_01","接受了赫．納恩薩的委託。在利姆薩．羅敏薩的鑄甲匠公會，將<Sheet(ItemHQ,　3861,0)/>、<Sheet(ItemHQ,　2830,0)/>和<Sheet(ItemHQ,　3868,0)/>各1個交給赫．納恩薩。"
2,"TEXT_CLSARM451_00283_SEQ_02","將<Sheet(ItemHQ,　3861,0)/>、<Sheet(ItemHQ,　2830,0)/>和<Sheet(ItemHQ,　3868,0)/>各1個交給了赫．納恩薩。在利姆薩．羅敏薩的鑄甲匠公會，向布蘭修提爾報告。"
3,"TEXT_CLSARM451_00283_SEQ_03","向布蘭修提爾報告完畢。雖然冒險者與布蘭修提爾的比試以不戰而敗收場，但由此也拯救了公會，冒險者為公會會員的團結及技術提高做出了不可磨滅的貢獻。下次的比試絕不能輸，作為一名鑄甲匠更加努力進行磨練。

※鑄甲匠的等級達到50級以上時，可以從赫．納恩薩那裡領取下一個鑄甲匠任務。"
4,"TEXT_CLSARM451_00283_SEQ_04",""
5,"TEXT_CLSARM451_00283_SEQ_05",""
6,"TEXT_CLSARM451_00283_SEQ_06",""
7,"TEXT_CLSARM451_00283_SEQ_07",""
8,"TEXT_CLSARM451_00283_SEQ_08",""
9,"TEXT_CLSARM451_00283_SEQ_09",""
10,"TEXT_CLSARM451_00283_SEQ_10",""
11,"TEXT_CLSARM451_00283_SEQ_11",""
12,"TEXT_CLSARM451_00283_SEQ_12",""
13,"TEXT_CLSARM451_00283_SEQ_13",""
14,"TEXT_CLSARM451_00283_SEQ_14",""
15,"TEXT_CLSARM451_00283_SEQ_15",""
16,"TEXT_CLSARM451_00283_SEQ_16",""
17,"TEXT_CLSARM451_00283_SEQ_17",""
18,"TEXT_CLSARM451_00283_SEQ_18",""
19,"TEXT_CLSARM451_00283_SEQ_19",""
20,"TEXT_CLSARM451_00283_SEQ_20",""
21,"TEXT_CLSARM451_00283_SEQ_21",""
22,"TEXT_CLSARM451_00283_SEQ_22",""
23,"TEXT_CLSARM451_00283_SEQ_23",""
24,"TEXT_CLSARM451_00283_TODO_00","將委託品交給赫．納恩薩"
