key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSB502_00871_SEQ_00","聖阿達瑪．蘭達瑪教會的艾德瓦德，有事想要委託給冒險者。"
1,"TEXT_GAIUSB502_00871_SEQ_01","<UIForeground>F20215</UIForeground><UIGlow>F20216</UIGlow><Gui(63)/>本任務已經過調整。建議放棄本任務，前往聖阿達瑪．蘭達瑪教會找馬爾克斯或埃莉內德重新領取。另外，重新領取到什麼任務會根據當前的任務進度來決定。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

※接下來的主線任務可以在主線嚮導中進行確認。在快捷指令的系統中可以找到角色設定，打開角色設定後，在介面設定的介面項中可以顯示或隱藏主線嚮導。"
2,"TEXT_GAIUSB502_00871_SEQ_02","要修理<Sheet(EventItem,2000677,0)/>就需要用到<Sheet(Item,　2394,0)/>。在枯骨營地購買後，將其交給馬爾克斯。"
3,"TEXT_GAIUSB502_00871_SEQ_03","將<Sheet(Item,　2394,0)/>交給馬爾克斯後，他三兩下就修理好了。不知他從前是不是做過類似的工作。"
4,"TEXT_GAIUSB502_00871_SEQ_04",""
5,"TEXT_GAIUSB502_00871_SEQ_05",""
6,"TEXT_GAIUSB502_00871_SEQ_06",""
7,"TEXT_GAIUSB502_00871_SEQ_07",""
8,"TEXT_GAIUSB502_00871_SEQ_08",""
9,"TEXT_GAIUSB502_00871_SEQ_09",""
10,"TEXT_GAIUSB502_00871_SEQ_10",""
11,"TEXT_GAIUSB502_00871_SEQ_11",""
12,"TEXT_GAIUSB502_00871_SEQ_12",""
13,"TEXT_GAIUSB502_00871_SEQ_13",""
14,"TEXT_GAIUSB502_00871_SEQ_14",""
15,"TEXT_GAIUSB502_00871_SEQ_15",""
16,"TEXT_GAIUSB502_00871_SEQ_16",""
17,"TEXT_GAIUSB502_00871_SEQ_17",""
18,"TEXT_GAIUSB502_00871_SEQ_18",""
19,"TEXT_GAIUSB502_00871_SEQ_19",""
20,"TEXT_GAIUSB502_00871_SEQ_20",""
21,"TEXT_GAIUSB502_00871_SEQ_21",""
22,"TEXT_GAIUSB502_00871_SEQ_22",""
23,"TEXT_GAIUSB502_00871_SEQ_23",""
24,"TEXT_GAIUSB502_00871_TODO_00","<UIForeground>F20215</UIForeground><UIGlow>F20216</UIGlow><Gui(63)/>本任務已經過調整 建議放棄任務重新領取<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
25,"TEXT_GAIUSB502_00871_TODO_01","<UIForeground>F20215</UIForeground><UIGlow>F20216</UIGlow><Gui(63)/>本任務已經過調整 建議放棄任務重新領取<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
26,"TEXT_GAIUSB502_00871_TODO_02",""
27,"TEXT_GAIUSB502_00871_TODO_03",""
28,"TEXT_GAIUSB502_00871_TODO_04",""
29,"TEXT_GAIUSB502_00871_TODO_05",""
30,"TEXT_GAIUSB502_00871_TODO_06",""
31,"TEXT_GAIUSB502_00871_TODO_07",""
32,"TEXT_GAIUSB502_00871_TODO_08",""
33,"TEXT_GAIUSB502_00871_TODO_09",""
34,"TEXT_GAIUSB502_00871_TODO_10",""
35,"TEXT_GAIUSB502_00871_TODO_11",""
36,"TEXT_GAIUSB502_00871_TODO_12",""
37,"TEXT_GAIUSB502_00871_TODO_13",""
38,"TEXT_GAIUSB502_00871_TODO_14",""
39,"TEXT_GAIUSB502_00871_TODO_15",""
40,"TEXT_GAIUSB502_00871_TODO_16",""
41,"TEXT_GAIUSB502_00871_TODO_17",""
42,"TEXT_GAIUSB502_00871_TODO_18",""
43,"TEXT_GAIUSB502_00871_TODO_19",""
44,"TEXT_GAIUSB502_00871_TODO_20",""
45,"TEXT_GAIUSB502_00871_TODO_21",""
46,"TEXT_GAIUSB502_00871_TODO_22",""
47,"TEXT_GAIUSB502_00871_TODO_23",""
48,"TEXT_GAIUSB502_00871_EADUUARD_000_000","嘁，這玩意根本不頂用。
形狀變得七扭八歪，底部也漏了一個大洞。
我本來還想用它煮飯呢！"
49,"TEXT_GAIUSB502_00871_EADUUARD_000_001","喂喂，你能把這個<Sheet(EventItem,2000677,0)/>修好嗎？
你說不行？什麼嘛，虧你還是冒險者呢……"
50,"TEXT_GAIUSB502_00871_EADUUARD_000_002","對了，守墓人馬爾克斯之前曾修好過玩具。
那個人能不能修好這東西呢？"
51,"TEXT_GAIUSB502_00871_MARQUEZ_000_010","……找我……有什麼事？"
52,"TEXT_GAIUSB502_00871_MARQUEZ_000_011","這是……蒸餾器啊。
……對，就是鍊金術士在蒸餾時使用的道具。
想用這個煮飯是嗎？"
53,"TEXT_GAIUSB502_00871_MARQUEZ_000_012","倒也不是不可以，但前提是要把它修好……
但要想修理它就需要用到<Sheet(Item,　2394,0)/>。
我記得那東西在枯骨營地就有出售。"
54,"TEXT_GAIUSB502_00871_MARQUEZ_000_020","你是要修理蒸餾器對吧？
那就需要<Sheet(Item,　2394,0)/>。
你把它拿過來，我就替你修……"
55,"TEXT_GAIUSB502_00871_MARQUEZ_000_021","你把它拿來了啊……
好吧，我修好後會把蒸餾器交給艾德瓦德的。
要修這種東西，對我來說是易如反掌。"
56,"TEXT_GAIUSB502_00871_MARQUEZ_000_022","話說回來，這種感覺真讓人懷念啊……
錘子的手感簡直太熟悉了……
我從前……是做過類似的工作嗎？"
