key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSC006_00943_SEQ_00","白雲崖前哨的阿斯蒂迪安，想要冒險者去迎接某人。"
1,"TEXT_GAIUSC006_00943_SEQ_01","白雲崖前哨的野戰醫院僱傭了一位新醫師。與巨龍首營地的布雷托尼厄交談。"
2,"TEXT_GAIUSC006_00943_SEQ_02","看來冒險者錯過了醫師。搜尋迷路的醫師，對他使用<Sheet(EventItem,2000735,0)/>。"
3,"TEXT_GAIUSC006_00943_SEQ_03","找到了迷路的醫師。但他能不能抵達目的地還是很令人擔心……在白雲崖前哨附近再一次搜尋醫師。"
4,"TEXT_GAIUSC006_00943_SEQ_04","找到了迷路的醫師，打倒襲擊他的<Sheet(BNpcName,637,0)/>。再一次與醫師交談。"
5,"TEXT_GAIUSC006_00943_SEQ_05","醫師前往了白雲崖前哨。向白雲崖前哨的阿斯蒂迪安報告。"
6,"TEXT_GAIUSC006_00943_SEQ_06","醫師平安到達了前哨。願他能在阿斯蒂迪安手下成長為一名合格的醫師……"
7,"TEXT_GAIUSC006_00943_SEQ_07",""
8,"TEXT_GAIUSC006_00943_SEQ_08",""
9,"TEXT_GAIUSC006_00943_SEQ_09",""
10,"TEXT_GAIUSC006_00943_SEQ_10",""
11,"TEXT_GAIUSC006_00943_SEQ_11",""
12,"TEXT_GAIUSC006_00943_SEQ_12",""
13,"TEXT_GAIUSC006_00943_SEQ_13",""
14,"TEXT_GAIUSC006_00943_SEQ_14",""
15,"TEXT_GAIUSC006_00943_SEQ_15",""
16,"TEXT_GAIUSC006_00943_SEQ_16",""
17,"TEXT_GAIUSC006_00943_SEQ_17",""
18,"TEXT_GAIUSC006_00943_SEQ_18",""
19,"TEXT_GAIUSC006_00943_SEQ_19",""
20,"TEXT_GAIUSC006_00943_SEQ_20",""
21,"TEXT_GAIUSC006_00943_SEQ_21",""
22,"TEXT_GAIUSC006_00943_SEQ_22",""
23,"TEXT_GAIUSC006_00943_SEQ_23",""
24,"TEXT_GAIUSC006_00943_TODO_00","和布雷托尼厄對話"
25,"TEXT_GAIUSC006_00943_TODO_01","在白雲崖地區尋找迷路的醫師 對醫師使用<Sheet(EventItem,2000735,0)/>"
26,"TEXT_GAIUSC006_00943_TODO_02","在白雲崖地區尋找迷路的醫師"
