key,0,1
#,,
int32,str,str
0,"TEXT_SUBCTS809_01424_SEQ_00","黃昏灣的貿易商塔塔芙看上去很煩惱。"
1,"TEXT_SUBCTS809_01424_SEQ_01","塔塔芙委託冒險者，代替因暈船而倒下的運貨人搬運貨物。前往西薩納蘭的月牙灣，將<Sheet(EventItem,2001240,0)/>和<Sheet(EventItem,2001241,0)/>交給納納拉伊。"
2,"TEXT_SUBCTS809_01424_SEQ_02","將<Sheet(EventItem,2001240,0)/>和<Sheet(EventItem,2001241,0)/>交給了納納拉伊。將<Sheet(EventItem,2001242,0)/>交給黃昏灣的塔塔芙。"
3,"TEXT_SUBCTS809_01424_SEQ_03","塔塔芙說她支持納納拉伊開墾田地，也把一些剩餘的種子分給了冒險者。在冒險者住宅區擁有土地之後，在庭院裡開拓一塊小田地也不錯。"
4,"TEXT_SUBCTS809_01424_SEQ_04",""
5,"TEXT_SUBCTS809_01424_SEQ_05",""
6,"TEXT_SUBCTS809_01424_SEQ_06",""
7,"TEXT_SUBCTS809_01424_SEQ_07",""
8,"TEXT_SUBCTS809_01424_SEQ_08",""
9,"TEXT_SUBCTS809_01424_SEQ_09",""
10,"TEXT_SUBCTS809_01424_SEQ_10",""
11,"TEXT_SUBCTS809_01424_SEQ_11",""
12,"TEXT_SUBCTS809_01424_SEQ_12",""
13,"TEXT_SUBCTS809_01424_SEQ_13",""
14,"TEXT_SUBCTS809_01424_SEQ_14",""
15,"TEXT_SUBCTS809_01424_SEQ_15",""
16,"TEXT_SUBCTS809_01424_SEQ_16",""
17,"TEXT_SUBCTS809_01424_SEQ_17",""
18,"TEXT_SUBCTS809_01424_SEQ_18",""
19,"TEXT_SUBCTS809_01424_SEQ_19",""
20,"TEXT_SUBCTS809_01424_SEQ_20",""
21,"TEXT_SUBCTS809_01424_SEQ_21",""
22,"TEXT_SUBCTS809_01424_SEQ_22",""
23,"TEXT_SUBCTS809_01424_SEQ_23",""
24,"TEXT_SUBCTS809_01424_TODO_00","將<Sheet(EventItem,2001240,0)/>和<Sheet(EventItem,2001241,0)/>交給納納拉伊"
25,"TEXT_SUBCTS809_01424_TODO_01","將<Sheet(EventItem,2001242,0)/>交給塔塔芙"
26,"TEXT_SUBCTS809_01424_TODO_02",""
27,"TEXT_SUBCTS809_01424_TODO_03",""
