key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNA201_01599_SEQ_00","福爾唐伯爵府的阿爾菲諾想要談談接下來的行動。"
1,"TEXT_HEAVNA201_01599_SEQ_01","為了打探烏爾達哈的形勢，阿爾菲諾決定和冒險者一起去找梅爾維布。前往利姆薩．羅敏薩的提督室。下層甲板工事大廳的贊特海爾副漩士會帶領冒險者前往提督室。"
2,"TEXT_HEAVNA201_01599_SEQ_02","從梅爾維布那裡瞭解到了烏爾達哈的形勢。據說多瑪的忍者們在調查詳細的情報。前往喪靈鐘，和羅薇娜會館的東方裝扮的女性談談。"
3,"TEXT_HEAVNA201_01599_SEQ_03","和緋桐進行了交談。她一直都在監視著被水晶義勇隊佔領的石之家，同時也在等著冒險者等人的歸來。借助她們的力量，救出勞班。"
4,"TEXT_HEAVNA201_01599_SEQ_04",""
5,"TEXT_HEAVNA201_01599_SEQ_05",""
6,"TEXT_HEAVNA201_01599_SEQ_06",""
7,"TEXT_HEAVNA201_01599_SEQ_07",""
8,"TEXT_HEAVNA201_01599_SEQ_08",""
9,"TEXT_HEAVNA201_01599_SEQ_09",""
10,"TEXT_HEAVNA201_01599_SEQ_10",""
11,"TEXT_HEAVNA201_01599_SEQ_11",""
12,"TEXT_HEAVNA201_01599_SEQ_12",""
13,"TEXT_HEAVNA201_01599_SEQ_13",""
14,"TEXT_HEAVNA201_01599_SEQ_14",""
15,"TEXT_HEAVNA201_01599_SEQ_15",""
16,"TEXT_HEAVNA201_01599_SEQ_16",""
17,"TEXT_HEAVNA201_01599_SEQ_17",""
18,"TEXT_HEAVNA201_01599_SEQ_18",""
19,"TEXT_HEAVNA201_01599_SEQ_19",""
20,"TEXT_HEAVNA201_01599_SEQ_20",""
21,"TEXT_HEAVNA201_01599_SEQ_21",""
22,"TEXT_HEAVNA201_01599_SEQ_22",""
23,"TEXT_HEAVNA201_01599_SEQ_23",""
24,"TEXT_HEAVNA201_01599_TODO_00","前往利姆薩．羅敏薩的提督室"
25,"TEXT_HEAVNA201_01599_TODO_01","和喪靈鐘東方裝扮的女性對話"
26,"TEXT_HEAVNA201_01599_TODO_02",""
27,"TEXT_HEAVNA201_01599_TODO_03",""
28,"TEXT_HEAVNA201_01599_TODO_04",""
29,"TEXT_HEAVNA201_01599_TODO_05",""
