key,0,1
#,,
int32,str,str
0,"TEXT_CLSWDK502_01997_SEQ_00","刻木匠公會的貝亞坦有件事想要委託給冒險者。"
1,"TEXT_CLSWDK502_01997_SEQ_01","前情回顧：
刻木匠公會的會長貝亞坦和他的朋友蓋伊爾哈德因為一點小事吵起來了。蓋伊爾哈德在吵架後就奔赴戰場，去向不明了。受到打擊的貝亞坦相信蓋伊爾哈德還活著，並委託冒險者為他製作弓箭。奔赴至激戰地後……發現蓋伊爾哈德果然還活著。他手握送到手上的弓箭，射出強力的箭矢成功消滅了敵將。看到冒險者作為刻木匠得到了極大的提高，貝亞坦很是欣慰，並表示在指導冒險者的過程中自己也得到了提高……
　　　　　　　　　　　　*　*　*
從貝亞坦那裡得到了一把壞掉的槍。為了尋找槍的主人，前往伊修加爾德的神殿騎士團總部，讓老神殿騎士查看<Sheet(EventItem,2001681,0)/>。"
2,"TEXT_CLSWDK502_01997_SEQ_02","從老神殿騎士那裡得到了槍的主人的線索。前往伊修加爾德的雲霧街，將<Sheet(EventItem,2001681,0)/>交給巴爾托維厄。"
3,"TEXT_CLSWDK502_01997_SEQ_03","將壞掉的槍交給了巴爾托維厄。<Sheet(EventItem,2001681,0)/>的主人是巴爾托維厄已逝的父親。巴爾托維厄好像對已逝的父親有些不滿。他想要委託刻木匠做東西，或許會是獨立出來的冒險者的一位顧客。作為刻木匠繼續磨練手藝，等待巴爾托維厄發來委託。

※刻木匠的等級達到53級以上時，可以從雲霧街的巴爾托維厄那裡領取下一個刻木匠任務。"
4,"TEXT_CLSWDK502_01997_SEQ_04",""
5,"TEXT_CLSWDK502_01997_SEQ_05",""
6,"TEXT_CLSWDK502_01997_SEQ_06",""
7,"TEXT_CLSWDK502_01997_SEQ_07",""
8,"TEXT_CLSWDK502_01997_SEQ_08",""
9,"TEXT_CLSWDK502_01997_SEQ_09",""
10,"TEXT_CLSWDK502_01997_SEQ_10",""
11,"TEXT_CLSWDK502_01997_SEQ_11",""
12,"TEXT_CLSWDK502_01997_SEQ_12",""
13,"TEXT_CLSWDK502_01997_SEQ_13",""
14,"TEXT_CLSWDK502_01997_SEQ_14",""
15,"TEXT_CLSWDK502_01997_SEQ_15",""
16,"TEXT_CLSWDK502_01997_SEQ_16",""
17,"TEXT_CLSWDK502_01997_SEQ_17",""
