key,0,1
#,,
int32,str,str
0,"TEXT_AETHERYTE_MAINMENU_TITLE","<Sheet(PlaceName,IntegerParameter(1),0)/>"
1,"TEXT_AETHERYTE_TOWN_WARP","<Gui(69)/> 都市傳送網"
2,"TEXT_AETHERYTE_HOUSING_WARP","<Gui(69)/> 冒險者住宅區傳送"
3,"TEXT_AETHERYTE_MENU_WKT","<Gui(69)/> 跨界傳送"
4,"TEXT_AETHERYTE_REGISTER_HOME_POINT_CHECKED","<Gui(68)/> 設定返回點"
5,"TEXT_AETHERYTE_REGISTER_HOME_POINT","<Gui(69)/> 設定返回點"
6,"TEXT_AETHERYTE_REGISTER_FAVORITE_CHECKED","<Gui(68)/> 添加到收藏夾"
7,"TEXT_AETHERYTE_REGISTER_FAVORITE","<Gui(69)/> 添加到收藏夾"
8,"TEXT_AETHERYTE_REGISTER_TOKEN_FAVORITE_CHECKED","<If(PlayerParameter(103))><Gui(67)/><Else/><Gui(120)/></If> 添加到免費點（一次性密碼特典）"
9,"TEXT_AETHERYTE_REGISTER_TOKEN_FAVORITE","<Gui(69)/> 添加到免費點（一次性密碼特典）"
10,"TEXT_AETHERYTE_REGISTER_PSPLUS_FAVORITE_CHECKED","<If(PlayerParameter(104))><If(Equal(PlayerParameter(78),99))><Gui(123)/><Else/><Gui(121)/></If><Else/><If(Equal(PlayerParameter(78),99))><Gui(63)/><Else/><Gui(122)/></If></If> お気に入り（<If(Equal(PlayerParameter(78),99))>PS Plus特典無料枠<Else/>無料</If>）登録"
11,"TEXT_AETHERYTE_REGISTER_PSPLUS_FAVORITE","<If(Equal(PlayerParameter(78),99))><Gui(123)/><Else/><Gui(121)/></If> お気に入り（<If(Equal(PlayerParameter(78),99))>PS Plus特典無料枠<Else/>無料</If>）登録"
12,"TEXT_AETHERYTE_MOVE_INSTANCE","<Gui(69)/> 切換副本區"
13,"TEXT_AETHERYTE_MENU_CANCEL","<Gui(69)/> 取消"
14,"TEXT_AETHERYTE_AETHERNET_MENU_TITLE","請選擇目的地。
當前地點：<Highlight>StringParameter(1)</Highlight>"
15,"TEXT_AETHERYTE_AETHERNET_MENU_TITLE_NONE_MESSAGE","

沒有可移動的城內乙太之晶。

"
