key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_VOICEMAN_06401_000010_SOULEATER,靈魂的―― 饗宴――<hex:02100103>絕對  不能  被中斷！！
1,TEXT_VOICEMAN_06401_000015_SOULEATER,（★未使用／削除予定★）
2,TEXT_VOICEMAN_06401_000020_PANDAEMONIUM,我名為―― 萬魔殿
3,TEXT_VOICEMAN_06401_000030_PANDAEMONIUM,超越萬數  失敗作品的盡頭――<hex:02100103>從沒有靈魂的器皿中  誕生出寄宿生命的殿堂！
4,TEXT_VOICEMAN_06401_000040_THEMIS,這份雀躍的心情  也是因為雅典娜的操控嗎――<hex:02100103>不過  我也一直在考慮  什麼姿態適合與你戰鬥――！
5,TEXT_VOICEMAN_06401_000050_THEMIS,讓你看到  我的一切吧<hex:02100103>這就是  我的變身――！
6,TEXT_VOICEMAN_06401_000060_ATHENA,歡迎來到  神的御座――<hex:02100103>來吧  讓我看看  你的一切
7,TEXT_VOICEMAN_06401_000070_THEMIS,……原來如此。<hex:02100103>看來這就是赫菲斯托斯故事的始末了。
8,TEXT_VOICEMAN_06401_000080_THEMIS,現在，記憶水晶中的真相也清楚了。<hex:02100103>有關萬魔殿的異動，應該終於可以說算是結束了吧。
9,TEXT_VOICEMAN_06401_000090_THEMIS,我也、能毫無遺憾地消失了。<hex:02100103>真的很感謝你，一路走到這裡。
10,TEXT_VOICEMAN_06401_000100_THEMIS,呼……
35,TEXT_VOICEMAN_06401_000340_ELIDIBUS,啊――
36,TEXT_VOICEMAN_06401_000350_ELIDIBUS,是光啊——
